name,state,nda_index
Eagan,MN,9.0
Jersey City,NJ,20.3
Bushwick,NY,28.0
Queens,NY,23.3
Jonesboro,AR,9.0
Gainesville,FL,14.7
Melbourne,FL,14.7
Sandy Springs,GA,20.0
Overland Park,KS,18.0
Baton Rouge,LA,13.7
Blue Springs,MO,6.0
Jackson,NJ,0.0
Jackson,TN,11.7
Mansfield,TX,4.7
Suffolk,VA,23.0
Iowa City,IA,23.3
Peoria,IL,18.7
South Shore,IL,18.3
Newton,MA,18.3
Springfield,MA,19.7
Dearborn,MI,23.3
Bloomington,MN,5.0
Bensonhurst,NY,21.7
Brentwood,NY,8.7
Ridgewood,NY,26.0
Rochester,NY,16.0
Huntsville,AL,21.3
Miramar,FL,4.0
Palm Bay,FL,5.0
Warner Robins,GA,10.3
Greenwood,IN,8.7
Buckeye,AZ,3.3
Boyle Heights,CA,15.3
Norwalk,CA,15.7
Pleasanton,CA,21.7
San Marcos,CA,17.0
Commerce City,CO,12.3
San Angelo,TX,10.7
Gresham,OR,17.7
Richland,WA,23.0
Silver Spring,MD,25.0
Huntersville,NC,5.7
Lawton,OK,6.0
Greenville,SC,22.0
DeSoto,TX,3.0
Milford,CT,13.0
Norwalk,CT,18.3
Oak Park,IL,15.3
